epoch,accuracy,loss,val_accuracy,val_loss
0,0.8225147724151611,1.4579672813415527,0.796875,1.1623178720474243
1,0.8458893299102783,1.06332528591156,0.8046875,1.3503100872039795
2,0.8626007437705994,0.8340255618095398,0.8046875,1.5148124694824219
3,0.8825899958610535,0.6549355983734131,0.8203125,1.3555445671081543
4,0.8982267379760742,0.5190201997756958,0.8203125,1.2546193599700928
5,0.9165502190589905,0.40122973918914795,0.8515625,1.1079778671264648
6,0.9279956817626953,0.31207600235939026,0.84375,1.0746500492095947
7,0.9410532116889954,0.2379685789346695,0.84375,1.0786675214767456
8,0.9520688056945801,0.18128634989261627,0.859375,1.1323232650756836
9,0.9611499309539795,0.1356509029865265,0.84375,1.182316780090332
10,0.9681891202926636,0.1003245934844017,0.84375,1.1430248022079468
11,0.9739924669265747,0.08149262517690659,0.8515625,0.9983037710189819
12,0.9785062074661255,0.06358746439218521,0.84375,1.0473862886428833
13,0.9843094944953918,0.0461292564868927,0.84375,1.0816147327423096
14,0.9860290288925171,0.03977254033088684,0.8359375,1.1957749128341675
15,0.9895755052566528,0.03136693686246872,0.859375,0.9264915585517883
16,0.9904352426528931,0.02771902270615101,0.8515625,1.1541965007781982
17,0.992423415184021,0.021427182480692863,0.84375,1.1452479362487793
18,0.9929607510566711,0.02115437388420105,0.8515625,0.9062362909317017
19,0.9937130808830261,0.01792345941066742,0.8515625,1.1385128498077393
20,0.9952713847160339,0.014511147513985634,0.859375,0.9706274271011353
21,0.9953250885009766,0.01247377134859562,0.859375,1.1481142044067383
22,0.9967759251594543,0.010604549199342728,0.84375,1.010432481765747
23,0.9959161877632141,0.010351856239140034,0.859375,0.9769026637077332
24,0.9968296885490417,0.009408940561115742,0.8515625,1.0568411350250244
25,0.9966684579849243,0.009162386879324913,0.875,0.920651376247406
26,0.9979580640792847,0.007453283295035362,0.8515625,1.030802607536316
27,0.9981729984283447,0.005350390449166298,0.859375,0.9875329732894897
28,0.9983342289924622,0.005752233788371086,0.8515625,1.1112754344940186
29,0.9982267618179321,0.006115346681326628,0.859375,0.9648836851119995
30,0.9988178610801697,0.004083679057657719,0.8515625,1.1403770446777344
31,0.9991939663887024,0.004632304888218641,0.8671875,1.2175648212432861
32,0.9986029267311096,0.004255969077348709,0.8671875,1.0351909399032593
33,0.9984954595565796,0.004549834877252579,0.8671875,1.0131950378417969
34,0.9990327954292297,0.003705715062096715,0.875,1.0469605922698975
35,0.9990864992141724,0.003769664792343974,0.8671875,0.9806947112083435
36,0.9992477297782898,0.002556609222665429,0.875,0.9167473316192627
37,0.9993014335632324,0.002326488960534334,0.875,0.8977619409561157
38,0.9993014335632324,0.002398514188826084,0.875,0.828824520111084
39,0.9990327954292297,0.002877656137570739,0.8359375,0.8700312376022339
40,0.9991939663887024,0.0022620942909270525,0.875,0.9394376873970032
41,0.9994089007377625,0.0023757806047797203,0.875,0.7548755407333374
42,0.9995163679122925,0.0018603435019031167,0.875,0.8251382112503052
43,0.9996238350868225,0.0014227875508368015,0.8828125,0.8509343862533569
44,0.9996238350868225,0.001653425395488739,0.8828125,0.9930036067962646
45,0.9998387694358826,0.0013050975976511836,0.875,0.9327414035797119
46,0.9996775984764099,0.0012617608299478889,0.875,0.9670042991638184
47,0.9997313022613525,0.0013195209903642535,0.859375,1.0548654794692993
48,0.99989253282547,0.0009365880396217108,0.859375,1.092857003211975
49,0.9997313022613525,0.0011333212023600936,0.8515625,0.9276130199432373
