epoch,acc,loss,val_acc,val_loss
0,0.822676,1.2440534552680873,0.640625,5.022604703903198
1,0.81295,1.22323831912655,0.734375,3.5212313532829285
2,0.8051048,1.1945673381058417,0.7265625,3.411305010318756
3,0.78946805,1.243150637629106,0.7109375,2.8272982239723206
4,0.79666847,1.1840425676880628,0.7265625,2.986049473285675
5,0.78979045,1.1538551388583642,0.78125,1.8772991001605988
6,0.79263836,1.1937416500677562,0.6875,3.1855242252349854
7,0.7880172,1.1773261035763727,0.7578125,2.2459540963172913
8,0.7934444,1.1382085691779034,0.734375,2.1363906264305115
9,0.7865126,1.1486135226805596,0.671875,2.341326266527176
10,0.7585707,1.2314631629133552,0.796875,1.5333229899406433
11,0.7805481,1.0993201558020516,0.7109375,3.081697463989258
12,0.7808168,1.1010132167245104,0.7578125,2.340782105922699
13,0.79043525,1.040345029963046,0.796875,2.726504325866699
14,0.79774314,1.0049050541088957,0.75,2.6192739009857178
15,0.79742074,0.9877647547966631,0.765625,2.209932565689087
16,0.79167116,0.9822238029406447,0.71875,2.011309504508972
17,0.79043525,0.9825012154390722,0.7265625,3.1616172790527344
18,0.8035465,0.9279724551153552,0.7578125,2.5876159071922302
19,0.7943579,0.9485772057625231,0.75,2.1097712218761444
20,0.8083826,0.890772500539461,0.7421875,2.736342668533325
21,0.7974745,0.925382054282858,0.7578125,2.2628250122070312
22,0.8025255,0.8717660623189715,0.7421875,2.141923725605011
23,0.8101021,0.8568629183297612,0.703125,2.812615543603897
24,0.8124127,0.8151781867959143,0.6875,2.0750830471515656
25,0.82165504,0.7770699555201527,0.765625,2.315773069858551
26,0.8138635,0.8162328695487935,0.7421875,2.2479523420333862
27,0.82068783,0.7914939406695952,0.8046875,2.083597779273987
28,0.81724876,0.7738367922578481,0.7265625,3.053156852722168
29,0.8271359,0.7547038191692629,0.7109375,3.0532155632972717
30,0.8274046,0.7425275144560897,0.7109375,3.055456668138504
31,0.83105856,0.7355527781282913,0.7421875,2.0016478896141052
32,0.8362171,0.6854101159190599,0.765625,2.7537768483161926
33,0.8432563,0.6715564747593811,0.7890625,1.4732996225357056
34,0.8357335,0.6947722355019033,0.7578125,3.00566029548645
35,0.84271896,0.674449552941901,0.75,2.4490415155887604
36,0.8479312,0.6273486402423418,0.6875,3.2282947301864624
37,0.8542719,0.5955414587081349,0.7578125,2.672532379627228
38,0.8577109,0.5703422807739517,0.7734375,2.112830698490143
39,0.85276735,0.5697160684399601,0.7421875,2.8844866156578064
40,0.8595916,0.5629934046731117,0.7578125,2.7689869701862335
41,0.85900056,0.5483587095801977,0.7265625,2.9868953227996826
42,0.86824286,0.5157096678154268,0.7421875,2.8953059315681458
43,0.8681354,0.511684157299934,0.734375,3.372823178768158
44,0.8693713,0.5028644716907197,0.78125,2.0770976543426514
45,0.8695325,0.4961680669923188,0.75,2.7564629912376404
46,0.8772166,0.47549092320043634,0.7421875,2.6861300468444824
47,0.87888235,0.449140712855659,0.7578125,2.758040428161621
48,0.88049436,0.44690988061123904,0.7734375,1.8491241931915283
49,0.8806556,0.44003004516407696,0.7890625,2.509001612663269
