epoch,loss,lr
0,0.01340907808043994,0.020000193
1,0.008300765048867712,0.020000193
2,0.0074616595656455805,0.020000193
3,0.006994176228504835,0.020000193
4,0.006683797306484647,0.020000193
5,0.006476493986944358,0.020000193
6,0.006248384694077282,0.020000193
7,0.006075490805475662,0.020000193
8,0.005998576847681155,0.020000193
9,0.0059165574946544236,0.020000193
10,0.005772699789829656,0.020000193
11,0.005706949036620144,0.020000193
12,0.005605688186026075,0.020000193
13,0.005527287251121986,0.020000193
14,0.005475011199531663,0.020000193
15,0.005443615725380368,0.020000193
16,0.005352157892775722,0.020000193
17,0.005314882314996794,0.020000193
18,0.005231151813253139,0.020000193
19,0.005172577276243828,0.020000193
20,0.005134731729695988,0.020000193
21,0.00511486591583687,0.020000193
22,0.005062745317506293,0.020000193
23,0.004997410258834457,0.020000193
24,0.005049230123081038,0.020000193
25,0.004913664402879982,0.020000193
26,0.004919361545600825,0.020000193
27,0.00485746567008189,0.020000193
28,0.004836908640572801,0.020000193
29,0.004819217637608138,0.020000193
30,0.004743625455497143,0.020000193
31,0.004721415966762127,0.020000193
32,0.004682759023853578,0.020000193
33,0.004666976173757576,0.020000193
34,0.00461143829969741,0.020000193
35,0.004581212914652294,0.020000193
36,0.004550991164675603,0.020000193
37,0.0045698623971677284,0.020000193
38,0.004524645633258236,0.020000193
39,0.004472102118112767,0.0039999685
39,0.004452948954228001,0.0039999685

