epoch,loss,lr
0,0.011457328112252677,0.19999854
1,0.007823623610117162,0.19999854
2,0.006978340321479158,0.19999854
3,0.0065486972155566845,0.19999854
4,0.0062251289310451185,0.19999854
5,0.0059721878616579085,0.19999854
6,0.005823359860288393,0.19999854
7,0.005710141430285552,0.19999854
8,0.005511569483981778,0.19999854
9,0.00539286645491504,0.19999854
10,0.00530412088361724,0.19999854
11,0.005209432516453995,0.19999854
12,0.005144317041979068,0.19999854
13,0.005059526183888213,0.19999854
14,0.004962530407808825,0.19999854
15,0.004868624996096413,0.19999854
16,0.004867470448112322,0.19999854
17,0.004774157754662964,0.19999854
18,0.004738657827126897,0.19999854
19,0.004662668652923053,0.19999854
20,0.004604516529879119,0.19999854
21,0.004585520861696245,0.19999854
22,0.004505060315649543,0.19999854
23,0.0044395252244107215,0.19999854
24,0.004374653138155635,0.19999854
25,0.004350125196570944,0.19999854
26,0.004326960829267692,0.19999854
27,0.004258025922333925,0.19999854
28,0.004151185250763471,0.19999854
29,0.0042424871583029425,0.19999854
30,0.004160795189091004,0.19999854
31,0.004123020090628415,0.19999854
32,0.004101285146316513,0.19999854
33,0.0039375052130910465,0.040000387
34,0.003910322546532067,0.040000387
35,0.0039020707061152076,0.040000387
36,0.0039025090838549657,0.040000387
37,0.0038930734367265056,0.040000387
38,0.003860865717352782,0.007999937
39,0.003873283059672556,0.007999937
